name,image_url,player_ids
Eduarda Moura,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/MOURA_EDUARDA_L_06-08.png?itok=Xy9FG_w0,2747;9248
Elijah Smith,https://ufc.com/images/styles/athlete_bio_full_body/s3/2026-03/SMITH_ELIJAH_L_03-14.png?itok=Ec7sNQQN,14069
Elves Brener,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-07/BRENNER_ELVES_L_08-02.png?itok=0EOpJx7M,1442;6366;11518
Esteban Ribovics,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/RIBOVICS_ESTEBAN_L_05-11.png?itok=BSnePqwC,1230;2749;9250
Fares Ziam,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/ZIAM_FARES_L_02-01.png?itok=XmL8Gs1c,4738
Farid Basharat,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/BASHARAT_FARID_L_10-26.png?itok=DWyKwzOR,1231;2750;9251
Fatima Kline,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-07/KLINE_FATIMA_L_07-12.png?itok=1wKbFf1K,13984
Felice Herrig,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-06/5c116be1-673b-4dcd-ba93-1a686f495f2a%252FHERRIG_FELICE_L_06-04.png?itok=UQf9AzAd,4885
Felipe Lima,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-12/LIMA_FELIPE_L_06-22.png?itok=6lZqYuon,13994
Fernando Padilla,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-12/PADILLA_FERNANDO_L_03-23.png?itok=KSeSOAab,1444;2751;6368;11517
Francis Ngannou,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-01/NGANNOU_FRANCIS_L_03-27.png?itok=unnPPsMa,4740
Frank Mir,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/4db23501-da10-4288-a34f-89b0af05a5f3%252FFrank-Mir_251_LeftFullBodyImage.png?itok=vd66VXpr,1232;1446;2752;6370;9253;14136
Frankie Edgar,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-11/67978%252Fprofile-galery%252Ffullbodyleft-picture%252FEDGAR_FRANKIE_L_11-06.png?itok=vIzBnTDe,1233;1448;2753;4741;6372;11351
Gabriel Bonfim,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-11/BONFIM_GABRIEL_L_11-08.png?itok=14XB18fa,1234;2754;9254
Gabriel Miranda,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-09/MIRANDA_GABRIEL_L_09-03.png?itok=Ysd_CdEb,1449;2755;6373;11382
Gabriel Santos,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/SANTOS_GABRIEL_L_09-07.png?itok=KdM_V63i,14006
Gautier Ateba,https://ufc.com/images/styles/athlete_bio_full_body/s3/2026-05/GAUTIER_ATEBA_L_05-09.png?itok=jVl43KI8,14045
Georges St-Pierre,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68009/profile-galery/fullbodyleft-picture/Georges-St-Pierre_318_LeftFullBodyImage.png?itok=iMUIlHC5,1236;1451;2757;4742;6375;9255;11407;14094
Glover Teixeira,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-01/TEIXEIRA_GLOVER_L_01-19.png?itok=q-p-xB-D,1454;2760;4744;6378;11501
Gregory Rodrigues,https://ufc.com/images/styles/athlete_bio_full_body/s3/2026-03/RODRIGUES_GREGORY_L_03-07.png?itok=FChPrA3c,2761;11467
